图层类型,文件路径,文件名,年份,格式,投影_CRS,空间范围_WGS84,分辨率,波段数,数据类型,nodata,行列或尺寸,表格结构,建议用途,是否需要预处理,预处理建议,备注
EVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/6.EVI_250m/MODIS_EVI_AnnualMean_2005.tif,MODIS_EVI_AnnualMean_2005.tif,2005,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被活力、生态恢复、生态质量评价,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
EVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/6.EVI_250m/MODIS_EVI_AnnualMean_2010.tif,MODIS_EVI_AnnualMean_2010.tif,2010,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被活力、生态恢复、生态质量评价,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
EVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/6.EVI_250m/MODIS_EVI_AnnualMean_2015.tif,MODIS_EVI_AnnualMean_2015.tif,2015,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被活力、生态恢复、生态质量评价,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
EVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/6.EVI_250m/MODIS_EVI_AnnualMean_2020.tif,MODIS_EVI_AnnualMean_2020.tif,2020,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被活力、生态恢复、生态质量评价,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
EVI_MODIS_250m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/6.EVI_250m/MODIS_EVI_AnnualMean_2025.tif,MODIS_EVI_AnnualMean_2025.tif,2025,GeoTIFF,EPSG:4326,"112.206316,34.434671,116.664206,36.175156",0.0022457882103;0.0022457882103,1,float32,,1985x775,,植被活力、生态恢复、生态质量评价,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_Water_Frequency_2000_2021.tif,JRC_Water_Frequency_2000_2021.tif,2000;2021,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,float32,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_waterClass_target_2000_data_2000.tif,JRC_waterClass_target_2000_data_2000.tif,2000,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,uint8,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_waterClass_target_2005_data_2005.tif,JRC_waterClass_target_2005_data_2005.tif,2005,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,uint8,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_waterClass_target_2010_data_2010.tif,JRC_waterClass_target_2010_data_2010.tif,2010,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,uint8,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_waterClass_target_2015_data_2015.tif,JRC_waterClass_target_2015_data_2015.tif,2015,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,uint8,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_waterClass_target_2020_data_2020.tif,JRC_waterClass_target_2020_data_2020.tif,2020,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,uint8,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
水体_JRC_30m,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/7.水体_30m/JRC_waterClass_target_2025_data_2021.tif,JRC_waterClass_target_2025_data_2021.tif,2021;2025,GeoTIFF,EPSG:4326,"112.207574,34.436288,116.663667,36.173180",0.000269494585236;0.000269494585236,1,uint8,,16535x6445,,水体分布、水体频率、洪泛暴露、水域变化,是,统一投影、范围和目标网格；分类数据重采样使用最近邻；必要时转换为 COG,
气象站点_气温降水,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/8.气温降水数据（黄河滩区中下游8个站点数据，2000到2019年均）/黄河滩区8站点_年降水年均气温_2000_2005_2010_2015_2019.xlsx,黄河滩区8站点_年降水年均气温_2000_2005_2010_2015_2019.xlsx,2000;2005;2010;2015;2019,Excel,,,,,table,,长表:41x13;宽表:9x14;计算说明:5x1,工作表:长表;宽表;计算说明,站点气候背景、栅格气候验证、降水气温对照,是,统一字段名、年份字段、坐标字段和编码；必要时导入 PostGIS 或转换为分析表,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_2000.tif,TanQu_TerraClimate_Core_2000.tif,2000,GeoTIFF,EPSG:4326,"112.166374,34.416577,116.666362,36.208239",0.0416665578233;0.0416665578233,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,,108x43,,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_2005.tif,TanQu_TerraClimate_Core_2005.tif,2005,GeoTIFF,EPSG:4326,"112.166374,34.416577,116.666362,36.208239",0.0416665578233;0.0416665578233,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,,108x43,,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_2010.tif,TanQu_TerraClimate_Core_2010.tif,2010,GeoTIFF,EPSG:4326,"112.166374,34.416577,116.666362,36.208239",0.0416665578233;0.0416665578233,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,,108x43,,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_2015.tif,TanQu_TerraClimate_Core_2015.tif,2015,GeoTIFF,EPSG:4326,"112.166374,34.416577,116.666362,36.208239",0.0416665578233;0.0416665578233,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,,108x43,,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_2020.tif,TanQu_TerraClimate_Core_2020.tif,2020,GeoTIFF,EPSG:4326,"112.166374,34.416577,116.666362,36.208239",0.0416665578233;0.0416665578233,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,,108x43,,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_2024.tif,TanQu_TerraClimate_Core_2024.tif,2024,GeoTIFF,EPSG:4326,"112.166374,34.416577,116.666362,36.208239",0.0416665578233;0.0416665578233,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,,108x43,,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一投影、范围和目标网格；连续数据按目标分辨率重采样；必要时标准化并转换为 COG,
TerraClimate_气候水文,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/9.TerraClimate水文数据/TanQu_TerraClimate_Core_Stats_2000_2005_2010_2015_2020_2024.csv,TanQu_TerraClimate_Core_Stats_2000_2005_2010_2015_2020_2024.csv,2000;2005;2010;2015;2020;2024,CSV,,,,,table,,6 rows x 14 cols,system:index;AET_annual_mm;AI_P_over_PET;DEF_annual_mm;ET_ratio_AET_over_PET;PDSI_mean;PET_annual_mm;P_annual_mm;Soil_mean_mm;Tmax_mean_C;Tmean_C;Tmin_mean_C;year;.geo,气候水文背景、水分亏缺、干湿状况、韧性气候因子,是,统一字段名、年份字段、坐标字段和编码；必要时导入 PostGIS 或转换为分析表,
数据说明文档,data/raw/智能体数据集_黄河滩区边界裁剪结果/智能体数据集_黄河滩区边界裁剪结果_最终/readme.txt,readme.txt,,TXT,,,,,document,,12778 bytes,,数据来源、年份、分辨率、使用说明参考,否,,
项目文档,docs/黄河滩区遥感数字孪生 × 生态韧性智能体 —— 可执行路线图.pdf,黄河滩区遥感数字孪生 × 生态韧性智能体 —— 可执行路线图.pdf,,PDF,,,,,document,,6 pages,,技术路线、系统架构、里程碑参考,否,,
